job_id,object,snapshot,sam,property,property_key,bin_index,bin_lo,bin_hi,fnl,filename,exists
15,LRG2,104,galform,mstar,mstar,4,10.503499976435947,12.0,fnl100,P_gg_LRG2_fnl100_galform_mstar_10p50350_12p00000.npz,True
16,LRG2,104,galform,OII,log10_OII_lum,0,39.0,39.64442501481789,fnl100,P_gg_LRG2_fnl100_galform_log10_OII_lum_39p00000_39p64443.npz,True
17,LRG2,104,galform,OII,log10_OII_lum,2,40.10221122951524,40.56051486076826,fnl100,P_gg_LRG2_fnl100_galform_log10_OII_lum_40p10221_40p56051.npz,True
18,LRG2,104,galform,OII,log10_OII_lum,4,41.08098510303239,44.0,fnl100,P_gg_LRG2_fnl100_galform_log10_OII_lum_41p08099_44p00000.npz,True
19,LRG2,104,shark,mstar,mstar,0,9.5,9.69648737995214,fnl100,P_gg_LRG2_fnl100_shark_mstar_9p50000_9p69649.npz,True
20,LRG2,104,shark,mstar,mstar,2,9.90653768990332,10.157296914290312,fnl100,P_gg_LRG2_fnl100_shark_mstar_9p90654_10p15730.npz,True
21,LRG2,104,shark,mstar,mstar,4,10.503499976435947,12.0,fnl100,P_gg_LRG2_fnl100_shark_mstar_10p50350_12p00000.npz,True
22,LRG2,104,shark,OII,log10_OII_lum,0,39.0,39.64442501481789,fnl100,P_gg_LRG2_fnl100_shark_log10_OII_lum_39p00000_39p64443.npz,True
23,LRG2,104,shark,OII,log10_OII_lum,2,40.10221122951524,40.56051486076826,fnl100,P_gg_LRG2_fnl100_shark_log10_OII_lum_40p10221_40p56051.npz,True
24,LRG2,104,shark,OII,log10_OII_lum,4,41.08098510303239,44.0,fnl100,P_gg_LRG2_fnl100_shark_log10_OII_lum_41p08099_44p00000.npz,True
25,LRG3,98,galform,mstar,mstar,0,9.5,9.69648737995214,fnl100,P_gg_LRG3_fnl100_galform_mstar_9p50000_9p69649.npz,True
26,LRG3,98,galform,mstar,mstar,2,9.90653768990332,10.157296914290312,fnl100,P_gg_LRG3_fnl100_galform_mstar_9p90654_10p15730.npz,True
27,LRG3,98,galform,mstar,mstar,4,10.503499976435947,12.0,fnl100,P_gg_LRG3_fnl100_galform_mstar_10p50350_12p00000.npz,True
28,LRG3,98,galform,OII,log10_OII_lum,0,39.0,39.64442501481789,fnl100,P_gg_LRG3_fnl100_galform_log10_OII_lum_39p00000_39p64443.npz,True
29,LRG3,98,galform,OII,log10_OII_lum,2,40.10221122951524,40.56051486076826,fnl100,P_gg_LRG3_fnl100_galform_log10_OII_lum_40p10221_40p56051.npz,True
30,LRG3,98,galform,OII,log10_OII_lum,4,41.08098510303239,44.0,fnl100,P_gg_LRG3_fnl100_galform_log10_OII_lum_41p08099_44p00000.npz,True
31,LRG3,98,shark,mstar,mstar,0,9.5,9.69648737995214,fnl100,P_gg_LRG3_fnl100_shark_mstar_9p50000_9p69649.npz,True
32,LRG3,98,shark,mstar,mstar,2,9.90653768990332,10.157296914290312,fnl100,P_gg_LRG3_fnl100_shark_mstar_9p90654_10p15730.npz,True
33,LRG3,98,shark,mstar,mstar,4,10.503499976435947,12.0,fnl100,P_gg_LRG3_fnl100_shark_mstar_10p50350_12p00000.npz,True
34,LRG3,98,shark,OII,log10_OII_lum,0,39.0,39.64442501481789,fnl100,P_gg_LRG3_fnl100_shark_log10_OII_lum_39p00000_39p64443.npz,True
35,LRG3,98,shark,OII,log10_OII_lum,2,40.10221122951524,40.56051486076826,fnl100,P_gg_LRG3_fnl100_shark_log10_OII_lum_40p10221_40p56051.npz,True
36,LRG3,98,shark,OII,log10_OII_lum,4,41.08098510303239,44.0,fnl100,P_gg_LRG3_fnl100_shark_log10_OII_lum_41p08099_44p00000.npz,True
37,ELG,90,galform,mstar,mstar,0,9.5,9.69648737995214,fnl100,P_gg_ELG_fnl100_galform_mstar_9p50000_9p69649.npz,True
38,ELG,90,galform,mstar,mstar,2,9.90653768990332,10.157296914290312,fnl100,P_gg_ELG_fnl100_galform_mstar_9p90654_10p15730.npz,True
39,ELG,90,galform,mstar,mstar,4,10.503499976435947,12.0,fnl100,P_gg_ELG_fnl100_galform_mstar_10p50350_12p00000.npz,True
40,ELG,90,galform,OII,log10_OII_lum,0,39.0,39.64442501481789,fnl100,P_gg_ELG_fnl100_galform_log10_OII_lum_39p00000_39p64443.npz,True
41,ELG,90,galform,OII,log10_OII_lum,2,40.10221122951524,40.56051486076826,fnl100,P_gg_ELG_fnl100_galform_log10_OII_lum_40p10221_40p56051.npz,True
42,ELG,90,galform,OII,log10_OII_lum,4,41.08098510303239,44.0,fnl100,P_gg_ELG_fnl100_galform_log10_OII_lum_41p08099_44p00000.npz,True
43,ELG,90,shark,mstar,mstar,0,9.5,9.69648737995214,fnl100,P_gg_ELG_fnl100_shark_mstar_9p50000_9p69649.npz,True
44,ELG,90,shark,mstar,mstar,2,9.90653768990332,10.157296914290312,fnl100,P_gg_ELG_fnl100_shark_mstar_9p90654_10p15730.npz,True
45,ELG,90,shark,mstar,mstar,4,10.503499976435947,12.0,fnl100,P_gg_ELG_fnl100_shark_mstar_10p50350_12p00000.npz,True
46,ELG,90,shark,OII,log10_OII_lum,0,39.0,39.64442501481789,fnl100,P_gg_ELG_fnl100_shark_log10_OII_lum_39p00000_39p64443.npz,True
47,ELG,90,shark,OII,log10_OII_lum,2,40.10221122951524,40.56051486076826,fnl100,P_gg_ELG_fnl100_shark_log10_OII_lum_40p10221_40p56051.npz,True
48,ELG,90,shark,OII,log10_OII_lum,4,41.08098510303239,44.0,fnl100,P_gg_ELG_fnl100_shark_log10_OII_lum_41p08099_44p00000.npz,True
49,QSO,87,galform,mstar,mstar,0,9.5,9.69648737995214,fnl100,P_gg_QSO_fnl100_galform_mstar_9p50000_9p69649.npz,True
50,QSO,87,galform,mstar,mstar,2,9.90653768990332,10.157296914290312,fnl100,P_gg_QSO_fnl100_galform_mstar_9p90654_10p15730.npz,True
